model,acc_mean,balacc_mean,prec_mean,rec_mean,f1_mean,roc_auc_mean,pr_auc_mean,mcc_mean
Baseline(RFS),0.9577777777777777,0.9550000000000001,1.0,0.9099999999999999,0.9564213564213564,1.0,1.0,0.9214131991939641
Tuned(RFS),0.9800000000000001,0.9800000000000001,1.0,0.96,0.9797979797979798,1.0,1.0,0.9632993161855452
