thr,acc,balacc,prec,rec,f1_macro,f1_pos1,mcc
0.4799999999999999,0.9583333333333334,0.9583333333333333,1.0,0.9166666666666666,0.9582608695652174,0.9565217391304348,0.9198662110077999
0.48999999999999994,0.9583333333333334,0.9583333333333333,1.0,0.9166666666666666,0.9582608695652174,0.9565217391304348,0.9198662110077999
0.49999999999999994,0.9583333333333334,0.9583333333333333,1.0,0.9166666666666666,0.9582608695652174,0.9565217391304348,0.9198662110077999
0.5099999999999999,0.9583333333333334,0.9583333333333333,1.0,0.9166666666666666,0.9582608695652174,0.9565217391304348,0.9198662110077999
0.5199999999999999,0.9583333333333334,0.9583333333333333,1.0,0.9166666666666666,0.9582608695652174,0.9565217391304348,0.9198662110077999
0.5299999999999999,0.9583333333333334,0.9583333333333333,1.0,0.9166666666666666,0.9582608695652174,0.9565217391304348,0.9198662110077999
0.5399999999999999,0.9583333333333334,0.9583333333333333,1.0,0.9166666666666666,0.9582608695652174,0.9565217391304348,0.9198662110077999
0.5499999999999999,0.9583333333333334,0.9583333333333333,1.0,0.9166666666666666,0.9582608695652174,0.9565217391304348,0.9198662110077999
0.41999999999999993,0.9375,0.9375,0.9565217391304348,0.9166666666666666,0.9374728614850196,0.9361702127659575,0.8757605390397141
0.42999999999999994,0.9375,0.9375,0.9565217391304348,0.9166666666666666,0.9374728614850196,0.9361702127659575,0.8757605390397141
0.43999999999999995,0.9375,0.9375,0.9565217391304348,0.9166666666666666,0.9374728614850196,0.9361702127659575,0.8757605390397141
0.4499999999999999,0.9375,0.9375,0.9565217391304348,0.9166666666666666,0.9374728614850196,0.9361702127659575,0.8757605390397141
0.4599999999999999,0.9375,0.9375,0.9565217391304348,0.9166666666666666,0.9374728614850196,0.9361702127659575,0.8757605390397141
0.4699999999999999,0.9375,0.9375,0.9565217391304348,0.9166666666666666,0.9374728614850196,0.9361702127659575,0.8757605390397141
0.5599999999999999,0.9375,0.9375,1.0,0.875,0.9372549019607843,0.9333333333333333,0.8819171036881969
0.57,0.9375,0.9375,1.0,0.875,0.9372549019607843,0.9333333333333333,0.8819171036881969
0.58,0.9375,0.9375,1.0,0.875,0.9372549019607843,0.9333333333333333,0.8819171036881969
0.4099999999999999,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334
0.59,0.9166666666666666,0.9166666666666667,1.0,0.8333333333333334,0.916083916083916,0.9090909090909091,0.8451542547285166
0.6,0.9166666666666666,0.9166666666666667,1.0,0.8333333333333334,0.916083916083916,0.9090909090909091,0.8451542547285166
0.61,0.9166666666666666,0.9166666666666667,1.0,0.8333333333333334,0.916083916083916,0.9090909090909091,0.8451542547285166
0.37999999999999995,0.8958333333333334,0.8958333333333333,0.88,0.9166666666666666,0.8957881024750325,0.8979591836734694,0.7923547734168841
0.38999999999999996,0.8958333333333334,0.8958333333333333,0.88,0.9166666666666666,0.8957881024750325,0.8979591836734694,0.7923547734168841
0.3999999999999999,0.8958333333333334,0.8958333333333333,0.88,0.9166666666666666,0.8957881024750325,0.8979591836734694,0.7923547734168841
0.62,0.8958333333333334,0.8958333333333333,1.0,0.7916666666666666,0.8946906537955244,0.8837209302325582,0.8094272134003795
0.63,0.8958333333333334,0.8958333333333333,1.0,0.7916666666666666,0.8946906537955244,0.8837209302325582,0.8094272134003795
0.36999999999999994,0.875,0.875,0.8461538461538461,0.9166666666666666,0.8747826086956522,0.88,0.7526178090063816
0.35999999999999993,0.8541666666666666,0.8541666666666666,0.8148148148148148,0.9166666666666666,0.8535947712418301,0.8627450980392157,0.7139328934618737
0.6399999999999999,0.8541666666666666,0.8541666666666667,1.0,0.7083333333333334,0.8509977827050997,0.8292682926829268,0.7405316311773547
0.33999999999999997,0.8333333333333334,0.8333333333333333,0.7857142857142857,0.9166666666666666,0.8321678321678322,0.8461538461538461,0.6761234037828132
0.3499999999999999,0.8333333333333334,0.8333333333333333,0.7857142857142857,0.9166666666666666,0.8321678321678322,0.8461538461538461,0.6761234037828132
0.32999999999999996,0.8125,0.8125,0.7586206896551724,0.9166666666666666,0.8104431768319438,0.8301886792452831,0.6390214842634575
0.6499999999999999,0.8125,0.8125,1.0,0.625,0.8056680161943319,0.7692307692307693,0.6741998624632421
0.6599999999999999,0.8125,0.8125,1.0,0.625,0.8056680161943319,0.7692307692307693,0.6741998624632421
0.6699999999999999,0.8125,0.8125,1.0,0.625,0.8056680161943319,0.7692307692307693,0.6741998624632421
0.29,0.8125,0.8125,0.7272727272727273,1.0,0.8056680161943319,0.8421052631578947,0.6741998624632421
0.31999999999999995,0.7916666666666666,0.7916666666666666,0.7333333333333333,0.9166666666666666,0.7883597883597884,0.8148148148148148,0.6024640760767094
0.3,0.7916666666666666,0.7916666666666667,0.71875,0.9583333333333334,0.7857142857142857,0.8214285714285714,0.6187184335382291
0.30999999999999994,0.7916666666666666,0.7916666666666667,0.71875,0.9583333333333334,0.7857142857142857,0.8214285714285714,0.6187184335382291
0.6799999999999999,0.7916666666666666,0.7916666666666667,1.0,0.5833333333333334,0.7822141560798548,0.7368421052631579,0.641688947919748
0.69,0.7916666666666666,0.7916666666666667,1.0,0.5833333333333334,0.7822141560798548,0.7368421052631579,0.641688947919748
0.7,0.7916666666666666,0.7916666666666667,1.0,0.5833333333333334,0.7822141560798548,0.7368421052631579,0.641688947919748
0.71,0.7916666666666666,0.7916666666666667,1.0,0.5833333333333334,0.7822141560798548,0.7368421052631579,0.641688947919748
