model,acc_mean,acc_std,balacc_mean,balacc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std,best_params_len
RFS,0.96,0.07999999999999999,0.96,0.07999999999999999,1.0,0.0,0.9199999999999999,0.16,0.9583333333333334,0.0833333333333333,1.0,0.0,1.0,0.0,0.9309307341415956,0.13813853171680912,6
CAT,0.9583333333333334,0.05892556509887896,0.9583333333333334,0.05892556509887896,1.0,0.0,0.9166666666666666,0.11785113019775792,0.9576719576719577,0.05986089152901989,0.9895833333333334,0.01473139127471974,0.9901620370370371,0.013912980648346398,0.9248655564138278,0.10625614912092093,5
XGB,0.9583333333333334,0.05892556509887896,0.9583333333333334,0.05892556509887896,1.0,0.0,0.9166666666666666,0.11785113019775792,0.9576719576719577,0.05986089152901989,0.9479166666666666,0.0736569563735987,0.9666666666666667,0.04714045207910316,0.9248655564138278,0.10625614912092093,6
LGB,0.9583333333333334,0.05892556509887896,0.9583333333333334,0.05892556509887896,1.0,0.0,0.9166666666666666,0.11785113019775792,0.9576719576719577,0.05986089152901989,0.9270833333333334,0.10311973892303819,0.9583333333333334,0.05892556509887896,0.9248655564138278,0.10625614912092093,8
LRN,0.9577777777777777,0.05183068350973601,0.96,0.04898979485566354,0.96,0.07999999999999999,0.96,0.07999999999999999,0.9575757575757574,0.052056964552424756,1.0,0.0,1.0,0.0,0.9232993161855452,0.09408350580541709,4
