feature,importance,rank
Ingreso mes,0.4833333333333333,1
Antiguedad ultimo trabajo,0.0,2
Edad,0.0,2
Funcion principal_Consultor,0.0,2
Funcion principal_Emprendedor,0.0,2
Funcion principal_Freelance,0.0,2
Funcion principal_Producción,0.0,2
Funcion principal_Servicio al cliente,0.0,2
Funcion principal_Ventas,0.0,2
Nivel estudio,0.0,2
Sexo_Masculino,0.0,2
Trabajo dependiente_Sí,0.0,2
