model,RMSE,MAE,R2,EVS
Baseline(LAS),92.42154445731822,77.22595145260905,0.9966506524129185,0.9976565329897186
Tuned(LAS),90.69439296807654,76.71977511310081,0.9968068182381646,0.9976307407638088
